Name,Team,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,AVG,BB%,K%,OBP,SLG,OPS,wOBA,wRC+,EV,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Mitch Haniger","SEA",278,252,53,36,10,0,7,24,31,24,0,77,1,0.21031746,0.086330935,0.276978417,0.280575539,0.333333333,0.613908872,0.27434943348383733,80.38529319608703,90.1880859375,0.09090909,0.47727273,"Mitch Haniger",14274,571745
"Matt Chapman","SFG",358,319,76,44,21,0,11,55,39,35,2,85,3,0.238244514,0.097765363,0.237430167,0.318435754,0.40752351,0.725959264,0.31787554601605017,109.54776106766492,92.39197716346153,0.11914894,0.47659574,"Matt Chapman",16505,656305
"Ronald Acuña Jr.","ATL",222,192,48,35,8,1,4,38,15,27,0,53,3,0.25,0.121621621,0.238738738,0.351351351,0.364583333,0.715934684,0.3233336191456597,108.03545933680778,92.17876047327898,0.09352518,0.47482014,"Ronald Acuna Jr.",18401,660670
"Bryce Harper","PHI",336,287,87,47,20,0,20,52,58,47,8,72,0,0.303135888,0.139880952,0.214285714,0.398809523,0.581881533,0.980691056,0.41198891564840223,169.4339202378214,91.25981987847223,0.12442396,0.47465438,"Bryce Harper",11579,547180
"Eloy Jiménez","CHW",177,163,39,27,7,0,5,14,13,13,0,31,0,0.239263803,0.073446327,0.175141242,0.29378531,0.374233128,0.668018438,0.29410908956312193,88.72165584596526,92.09802616003788,0.10526316,0.47368421,"Eloy Jimenez",17484,650391
"Joc Pederson","ARI",242,203,58,35,12,0,11,31,35,25,0,62,7,0.285714285,0.103305785,0.256198347,0.37815126,0.507389162,0.885540422,0.3831828299189816,150.0811997765794,91.97414172535211,0.11486486,0.47297297,"Joc Pederson",11899,592626
"Riley Greene","DET",356,308,78,43,16,4,15,50,41,44,3,92,2,0.253246753,0.123595505,0.258426966,0.349295774,0.477272727,0.826568501,0.3563685723665086,132.08535375867413,91.0995373703917,0.12844037,0.47247706,"Riley Greene",25976,682985
"Yordan Alvarez","HOU",356,313,93,55,19,1,18,51,46,35,6,53,5,0.2971246,0.098314606,0.148876404,0.373595505,0.536741214,0.910336719,0.3860709079674312,153.56638255935374,92.89833313454199,0.13688213,0.47148289,"Yordan Alvarez",19556,670541
"Salvador Perez","KCR",338,306,85,55,16,0,14,32,52,25,6,62,7,0.277777777,0.073964497,0.183431952,0.346153846,0.467320261,0.813474107,0.3494220094149371,123.49056900787403,91.7386783584025,0.13114754,0.47131148,"Salvador Perez",7304,521692
"Francisco Lindor","NYM",377,341,85,46,25,0,14,56,41,25,0,66,8,0.249266862,0.066312997,0.175066312,0.312997347,0.4457478,0.758745147,0.3296144780176704,118.37735996285114,90.51762748194946,0.13309353,0.47122302,"Francisco Lindor",12916,596019
"LaMonte Wade Jr.","SFG",181,142,46,36,7,0,3,24,18,35,2,40,2,0.323943661,0.193370165,0.220994475,0.458563535,0.436619718,0.895183253,0.39754542891539674,163.91720047245747,90.92457932692308,0.10576923,0.47115385,"LaMonte Wade Jr.",18126,664774
"Julio Rodríguez","SEA",364,340,83,70,6,0,7,37,29,22,0,98,2,0.244117647,0.06043956,0.269230769,0.293956043,0.323529411,0.617485454,0.2765652986018212,81.90374581408349,91.04924780475207,0.08264463,0.47107438,"Julio Rodriguez",23697,677594
"Eguy Rosario","SDP",57,53,13,4,6,0,3,5,6,2,0,20,1,0.245283018,0.035087719,0.350877192,0.285714285,0.528301886,0.814016171,0.3467277692896979,130.72592764826828,89.1782744436553,0.14705882,0.47058824,"Eguy Rosario",19964,666703
"Johnathan Rodriguez","CLE",40,31,4,3,1,0,0,6,5,9,0,14,0,0.129032258,0.225,0.35,0.325,0.161290322,0.486290322,0.25344937294721603,63.921349914601635,91.32500143612133,0,0.47058824,"Johnathan Rodriguez",22530,671286
"Adolis García","TEX",337,303,67,37,14,0,16,45,44,25,1,89,4,0.221122112,0.074183976,0.264094955,0.284866468,0.425742574,0.710609042,0.3064427835245927,95.77820370040439,91.15792538704129,0.14155251,0.47031963,"Adolis Garcia",19287,666969
"Yainer Diaz","HOU",298,281,77,55,13,2,7,34,41,11,0,41,1,0.274021352,0.036912751,0.137583892,0.298657718,0.409252669,0.707910387,0.30569827336592964,98.48990861902524,90.16574457908163,0.06938776,0.46938776,"Yainer Diaz",23003,673237
"Bryan Reynolds","PIT",376,339,92,57,19,3,13,35,46,31,1,83,4,0.27138643,0.082446808,0.22074468,0.337765957,0.460176991,0.797942948,0.34596122471491497,123.49496696263836,89.68735616521317,0.10465116,0.46899225,"Bryan Reynolds",19326,668804
"Vinnie Pasquantino","KCR",340,295,72,39,21,2,10,39,55,32,1,46,4,0.244067796,0.094117647,0.135294117,0.317647058,0.430508474,0.748155532,0.3221585129917899,104.80787610230075,91.46170966569767,0.07751938,0.46899225,"Vinnie Pasquantino",27676,686469
"Wilyer Abreu","BOS",218,196,53,28,17,2,6,31,22,21,0,58,0,0.270408163,0.096330275,0.266055045,0.339449541,0.469387755,0.808837296,0.35026811951890996,122.0985053735826,90.46059283088235,0.10791367,0.4676259,"Wilyer Abreu",23772,677800
"Tomás Nido","- - -",107,99,20,14,3,0,3,10,9,5,0,27,0,0.202020202,0.046728971,0.252336448,0.238095238,0.323232323,0.561327561,0.2460659731002081,61.10512430316293,90.0213623046875,0.13333333,0.46666667,"Tomas Nido",13755,621512
"Jarren Duran","BOS",387,349,100,57,23,10,10,58,40,32,0,84,3,0.286532951,0.082687338,0.217054263,0.349740932,0.495702005,0.845442937,0.36385984973586283,131.41242893487387,91.59895336354961,0.09328358,0.46641791,"Jarren Duran",24617,680776
"Matt Olson","ATL",348,309,74,42,19,1,12,37,41,32,2,94,5,0.2394822,0.091954022,0.270114942,0.318965517,0.42394822,0.742913737,0.32343136850809084,108.10216682832336,91.6481363171729,0.10138249,0.46543779,"Matt Olson",14344,621566
"Byron Buxton","MIN",237,217,57,32,14,3,8,34,34,11,0,64,7,0.262672811,0.046413502,0.270042194,0.316455696,0.465437788,0.781893484,0.3375279138862835,120.73474860614874,91.04376890120967,0.10322581,0.46451613,"Byron Buxton",14161,621439
"Tyler Stephenson","CIN",234,207,49,30,12,1,6,29,24,21,1,41,4,0.236714975,0.089743589,0.175213675,0.316239316,0.391304347,0.707543663,0.31080500046071063,95.73423238161698,90.68591527881736,0.0952381,0.46428571,"Tyler Stephenson",17988,663886
"J.D. Davis","- - -",146,132,30,21,5,0,4,13,6,11,0,35,3,0.227272727,0.075342465,0.239726027,0.301369863,0.356060606,0.657430469,0.29410424583578765,94.08320608671654,89.8148873647054,0.09278351,0.46391753,"J.D. Davis",16219,605204
"Shea Langeliers","OAK",273,251,51,26,8,2,15,27,41,16,2,75,3,0.20318725,0.058608058,0.274725274,0.256410256,0.430278884,0.68668914,0.2920835422853702,92.88977218404604,91.23520971543296,0.16201117,0.46368715,"Shea Langeliers",25816,669127
"Trea Turner","PHI",210,195,66,47,14,0,5,38,18,12,0,37,3,0.338461538,0.057142857,0.176190476,0.385714285,0.487179487,0.872893772,0.3813234746456146,148.50677969553277,90.77808544303798,0.06962025,0.46202532,"Trea Turner",16252,607208
"Jarred Kelenic","ATL",245,227,63,41,12,1,9,27,26,15,0,71,1,0.277533039,0.061224489,0.289795918,0.322448979,0.458149779,0.780598758,0.33769102656111427,117.83344276638903,89.4361834948576,0.10759494,0.46202532,"Jarred Kelenic",22558,672284
"Josh Jung","TEX",19,17,7,3,1,1,2,5,6,2,0,4,0,0.411764705,0.105263157,0.210526315,0.47368421,0.94117647,1.41486068,0.580717290702619,283.72865253146455,86.55881911057692,0.15384615,0.46153846,"Josh Jung",26299,673962
"Carson Kelly","DET",155,139,34,25,3,1,5,15,21,12,0,32,4,0.244604316,0.077419354,0.206451612,0.322580645,0.388489208,0.711069853,0.3163725833739004,104.67754192830401,90.11853257665095,0.06542056,0.45794393,"Carson Kelly",13620,608348
"Max Muncy","LAD",167,139,31,14,8,0,9,24,28,21,2,50,2,0.223021582,0.125748502,0.299401197,0.323353293,0.474820143,0.798173436,0.3373507752563014,121.44639491905012,90.00173495678192,0.10638298,0.45744681,"Max Muncy",13301,571970
"Elly De La Cruz","CIN",364,319,81,44,16,6,15,57,39,39,1,113,4,0.253918495,0.107142857,0.31043956,0.342541436,0.48275862,0.825300056,0.35706499540904885,127.30362724802153,91.5806457820197,0.12980769,0.45673077,"Elly De La Cruz",26668,682829
"J.D. Martinez","NYM",239,209,58,34,13,1,10,22,37,24,0,63,3,0.277511961,0.10041841,0.263598326,0.360169491,0.492822966,0.852992457,0.3708808351371248,146.5389264320433,90.88200547960069,0.18120805,0.45637584,"J.D. Martinez",6184,502110
"Starling Marte","NYM",266,245,68,50,9,2,7,38,30,17,0,56,2,0.27755102,0.063909774,0.210526315,0.328301886,0.41632653,0.744628416,0.3263820765153417,116.17145917302753,90.08382686491936,0.07329843,0.45549738,"Starling Marte",9241,516782
